Order_ID,Customer,Product,Category,Price,Quantity,Rating,Payment_Method,Order_Status,Total
ORD101,Amit,Laptop,Electronics,55000.0,1,4.5,UPI,Delivered,55000.0
ORD102,Neha,Mobile,Electronics,25000.0,2,4.7,Card,Delivered,50000.0
ORD103,Raj,Headphones,Electronics,3000.0,1,4.4,Cash,Cancelled,3000.0
ORD104,Priya,Shoes,Fashion,11470.588235294117,3,4.0,UPI,Delivered,34411.76
ORD105,Karan,Watch,Fashion,7000.0,1,3.8,Card,Pending,7000.0
ORD106,Simran,Tablet,Electronics,15000.0,1,4.3,Cash,Delivered,15000.0
ORD107,Rahul,Camera,Electronics,11470.588235294117,2,4.6,UPI,Pending,22941.18
ORD108,Anjali,Bag,Fashion,2000.0,1,3.9,Card,Delivered,2000.0
ORD109,Vikram,Keyboard,Electronics,1200.0,2,4.4,UPI,Cancelled,2400.0
ORD110,Sneha,Monitor,Electronics,18000.0,1,4.8,Cash,Delivered,18000.0
ORD111,Arjun,Mobile,Electronics,11470.588235294117,1,4.2,Card,Delivered,11470.59
ORD112,Riya,Shoes,Fashion,3500.0,1,4.1,UPI,Delivered,3500.0
ORD113,Kabir,Watch,Fashion,8000.0,1,5.0,Cash,Delivered,8000.0
ORD114,Meera,Laptop,Electronics,11470.588235294117,1,4.4,Card,Pending,11470.59
ORD115,Rohan,Camera,Electronics,45000.0,1,4.6,UPI,Delivered,45000.0
ORD116,Isha,Bag,Fashion,2500.0,1,4.4,Card,Delivered,2500.0
ORD117,Dev,Tablet,Electronics,11470.588235294117,1,4.3,Cash,Cancelled,11470.59
ORD118,Tina,Monitor,Electronics,22000.0,1,4.4,UPI,Delivered,22000.0
ORD119,Kunal,Keyboard,Electronics,1500.0,1,3.7,Card,Pending,1500.0
ORD120,Pooja,Headphones,Electronics,2800.0,1,4.0,Cash,Delivered,2800.0
