Order_ID,Customer_Name,Restaurant,City,Food_Item,Category,Price,Quantity,Delivery_Time_Minutes,Distance_km,Rating,Payment_Method,Order_Status,Total,Total_Bill,Platfrom_Commision,Restaurant_Earning
FD101,Amit,Spice Hub,Mumbai,Burger,FastFood,250,2,30,4,4.5,upi,delivered,500,500,100,400
FD102,Neha,Pizza Point,Delhi,Pizza,FastFood,500,1,45,8,4.7,card,delivered,500,500,100,400
FD103,Raj,Curry House,Bangalore,Biryani,MainCourse,350,2,39,6,4.2,cash,delivered,700,700,140,560
FD104,Priya,Spice Hub,Mumbai,Pasta,MainCourse,423,1,25,3,3.8,upi,delivered,423,423,85,338
FD105,Karan,Burger Town,Delhi,Burger,FastFood,200,0,35,5,4.1,card,cancelled,0,0,0,0
FD106,Simran,Sushi Bar,Bangalore,Sushi,MainCourse,800,1,60,12,4.9,upi,delivered,800,800,160,640
FD107,Rahul,Pizza Point,Mumbai,Pizza,FastFood,423,2,40,7,4.19,cash,delivered,846,846,169,677
FD108,Anjali,Curry House,Delhi,Paneer,MainCourse,300,1,55,10,4.0,card,delivered,300,300,60,240
FD109,Vikram,Burger Town,Bangalore,Burger,FastFood,220,2,20,3,5.0,upi,delivered,440,440,88,352
FD110,Sneha,Sushi Bar,Mumbai,Sushi,MainCourse,900,1,75,15,4.8,cash,pending,900,900,180,720
FD111,Arjun,Pizza Point,Delhi,Pizza,FastFood,423,1,30,5,4.3,upi,delivered,423,423,85,338
FD112,Riya,Spice Hub,Bangalore,Biryani,MainCourse,400,2,90,18,4.1,card,delivered,800,800,160,640
FD113,Kabir,Burger Town,Mumbai,Burger,FastFood,180,3,25,2,4.19,cash,delivered,540,540,108,432
FD114,Meera,Sushi Bar,Delhi,Sushi,MainCourse,950,1,39,9,4.6,upi,cancelled,950,950,190,760
FD115,Rohan,Curry House,Bangalore,Paneer,MainCourse,320,2,50,7,2.5,card,delivered,640,640,128,512
FD116,Isha,Pizza Point,Mumbai,Pizza,FastFood,520,1,28,4,3.2,upi,delivered,520,520,104,416
FD117,Dev,Spice Hub,Delhi,Pasta,MainCourse,423,1,35,6,4.4,cash,delivered,423,423,85,338
FD118,Tina,Burger Town,Bangalore,Burger,FastFood,210,2,22,3,4.0,card,delivered,420,420,84,336
FD119,Kunal,Sushi Bar,Mumbai,Sushi,MainCourse,850,1,65,11,4.7,upi,pending,850,850,170,680
FD120,Pooja,Curry House,Delhi,Biryani,MainCourse,380,2,45,8,4.19,card,delivered,760,760,152,608
FD121,Aman,Pizza Point,Bangalore,Pizza,FastFood,480,1,38,6,4.5,upi,delivered,480,480,96,384
FD122,Nikita,Spice Hub,Mumbai,Biryani,MainCourse,420,2,33,5,4.2,cash,delivered,840,840,168,672
FD123,Rahul,Burger Town,Delhi,Burger,FastFood,190,2,27,4,3.5,card,delivered,380,380,76,304
FD124,Ananya,Sushi Bar,Bangalore,Sushi,MainCourse,1000,1,80,16,4.9,upi,delivered,1000,1000,200,800
FD125,Varun,Curry House,Mumbai,Paneer,MainCourse,310,2,50,7,2.0,cash,cancelled,620,620,124,496
FD126,Sanya,Pizza Point,Delhi,Pizza,FastFood,510,1,42,8,4.6,card,delivered,510,510,102,408
FD127,Arpit,Spice Hub,Bangalore,Pasta,MainCourse,390,2,60,10,4.3,upi,delivered,780,780,156,624
FD128,Divya,Burger Town,Mumbai,Burger,FastFood,200,1,25,3,3.9,cash,delivered,200,200,40,160
FD129,Kriti,Sushi Bar,Delhi,Sushi,MainCourse,920,1,70,14,4.8,card,delivered,920,920,184,736
FD130,Rakesh,Curry House,Bangalore,Biryani,MainCourse,360,2,48,7,4.1,upi,delivered,720,720,144,576
FD131,Alok,Pizza Point,Mumbai,Pizza,FastFood,530,1,31,5,4.4,cash,delivered,530,530,106,424
FD132,Shreya,Spice Hub,Delhi,Biryani,MainCourse,410,2,34,6,4.2,card,delivered,820,820,164,656
FD133,Mohit,Burger Town,Bangalore,Burger,FastFood,230,2,24,3,4.1,upi,delivered,460,460,92,368
FD134,Palak,Sushi Bar,Mumbai,Sushi,MainCourse,870,1,68,13,4.6,cash,pending,870,870,174,696
FD135,Yash,Curry House,Delhi,Paneer,MainCourse,300,2,52,9,3.0,card,delivered,600,600,120,480
FD136,Tanvi,Pizza Point,Bangalore,Pizza,FastFood,495,1,36,6,4.5,upi,delivered,495,495,99,396
FD137,Ronit,Spice Hub,Mumbai,Pasta,MainCourse,380,2,29,4,4.3,cash,delivered,760,760,152,608
FD138,Ira,Burger Town,Delhi,Burger,FastFood,210,2,26,3,4.0,card,delivered,420,420,84,336
FD139,Sahil,Sushi Bar,Bangalore,Sushi,MainCourse,980,1,85,17,4.9,upi,delivered,980,980,196,784
FD140,Neel,Curry House,Mumbai,Biryani,MainCourse,340,2,47,8,2.8,cash,cancelled,680,680,136,544
